Company Name,Near term - Target Year search terms,Long term - Target Year search terms,Net-Zero Year search terms,variable,value,Near term - Target Year match,Long term - Target Year match,Net-Zero Year match
"Rubicon Technologies, LLC",['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ Rubicon Technologies, LLC commits to reduce scope 1 and scope 2 GHG emissions 46% by 2030 from a 2019 base year, and to measure and reduce its scope 3 emissions",x,,
RugVista AB,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
RugVista AB,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ RugVista AB commits to reduce scope 1 and scope 2 GHG emissions 46% by 2030 from a 2019 base year, and to measure and reduce its scope 3 emissions",x,,
S&P Global,['2025'],,,0,S&P Global commits to reduce absolute scope 1 and 2 GHG emissions 25% by 2025 from a 2019 base year,x,,
S&P Global,['2025'],,,1,S&P Global commits to reduce absolute scope 3 GHG emissions from business travel 25% by 2025 from a 2019 base year,x,,
S&P Global,['2025'],,,2,"S&P Global commits that 81% of its suppliers by emissions covering purchased goods & services and capital goods, will have science-based targets by 2025",x,,
"S-BIC COMPANY, LTD.",['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
"S-BIC COMPANY, LTD.",['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ S-BIC COMPANY, LTD. commits to reduce scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
S2S Electronics Ltd,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
S2S Electronics Ltd,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ S2S Electronics Ltd commits to reduce absolute scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
SAINT-GOBAIN,['2030'],['2050'],['2050'],0,Overall Net-Zero Target Saint-Gobain commits to reach net-zero greenhouse gas emissions across the value chain by 2050 from a 2017 base year*,,x,x
SAINT-GOBAIN,['2030'],['2050'],['2050'],1,"*Under the former commitment model of the SBTi (available between June 2019 and October 2021), a subset of companies committed to setting near-term science-based targets aligned with well-below 2°C over an interim period as part of their wider net_x0002_zero commitment (referred to as Option 2 of the Business Ambition for 1",,,
SAINT-GOBAIN,['2030'],['2050'],['2050'],2,5°C Campaign),,,
SAINT-GOBAIN,['2030'],['2050'],['2050'],3,There is a strictly enforced timeline for  these companies to ratchet ambition to 1,,,
SAINT-GOBAIN,['2030'],['2050'],['2050'],4,5°C for their near-term targets within a maximum of five years from the time of near-term target validation,,,
SAINT-GOBAIN,['2030'],['2050'],['2050'],5,"At this point, they will be expected to decarbonize in line with their 1",,,
SAINT-GOBAIN,['2030'],['2050'],['2050'],6,5°C-aligned long-term science-based targets,,,
SAINT-GOBAIN,['2030'],['2050'],['2050'],7,Near-Term Targets Saint-Gobain commits to reduce absolute scope 1 and 2 GHG emissions 33% by 2030 from a 2017 base year*,x,,
SAINT-GOBAIN,['2030'],['2050'],['2050'],8,"Saint-Gobain also commits to reduce absolute scope 3 GHG emissions 16% over the same timeframe from purchased goods and services, fuel and energy related activities, upstream transportation and distribution, business travel, downstream transportation and distribution, and end-of-life treatment of sold products",,,
SAINT-GOBAIN,['2030'],['2050'],['2050'],9,*The target boundary includes biogenic emissions and removals from bioenergy feedstocks,,,
SAINT-GOBAIN,['2030'],['2050'],['2050'],10,Long-Term Targets Saint-Gobain commits to reduce absolute scope 1 and 2 GHG emissions 90% by 2050 from a 2017 base year*,,x,x
SAINT-GOBAIN,['2030'],['2050'],['2050'],11,Saint-Gobain also commits to reduce absolute scope 3 GHG emissions 90% over the same timeframe,,,
SAINT-GOBAIN,['2030'],['2050'],['2050'],12,*The target boundary includes biogenic emissions and removals from bioenergy feedstocks,,,
"SAKAKIBARA SEIKI CO., LTD",['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
"SAKAKIBARA SEIKI CO., LTD",['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ SAKAKIBARA SEIKI CO., LTD commits to reduce absolute scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
SALUS Haus Dr. med. Otto Greither Nachf. GmbH & Co. KG,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
SALUS Haus Dr. med. Otto Greither Nachf. GmbH & Co. KG,['2030'],,,1,https://sciencebasedtargets.org/faqs-for-smes/ SALUS Haus Dr,,,
SALUS Haus Dr. med. Otto Greither Nachf. GmbH & Co. KG,['2030'],,,2,med,,,
SALUS Haus Dr. med. Otto Greither Nachf. GmbH & Co. KG,['2030'],,,3,Otto Greither Nachf,,,
SALUS Haus Dr. med. Otto Greither Nachf. GmbH & Co. KG,['2030'],,,4,GmbH & Co,,,
SALUS Haus Dr. med. Otto Greither Nachf. GmbH & Co. KG,['2030'],,,5,"KG commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2020 base year, and to measure and reduce its scope 3 emissions",x,,
"SANKO RECYCLE Co.,Ltd.",['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
"SANKO RECYCLE Co.,Ltd.",['2030'],,,1,https://sciencebasedtargets.org/faqs-for-smes/  SANKO RECYCLE Co,,,
"SANKO RECYCLE Co.,Ltd.",['2030'],,,2,",Ltd",,,
"SANKO RECYCLE Co.,Ltd.",['2030'],,,3,"commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2020 base year, and to measure and reduce its scope 3 emissions",x,,
SANOFI,['2030'],,,0,Sanofi commits to reduce absolute scope 1 and 2 GHG emissions 55% by 2030 from a 2019 base year,x,,
SANOFI,['2030'],,,1,Sanofi also commits to reduce absolute scope 3 GHG emissions 14% by 2030 from a 2019 base year,x,,
SANOFI,['2030'],,,2,*The target boundary includes biogenic emissions and removals from bioenergy feedstocks,,,
SANSHIN Inc.,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
SANSHIN Inc.,['2030'],,,1,https://sciencebasedtargets.org/faqs-for-smes/ SANSHIN Inc,,,
SANSHIN Inc.,['2030'],,,2,"commits to reduce scope 1 and scope 2 GHG emissions 30% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
"SANSHUZEN INDUSTRIAL MFG., INC.",['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
"SANSHUZEN INDUSTRIAL MFG., INC.",['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ SANSHUZEN INDUSTRIAL MFG., INC. commits to reduce absolute scope 1 and scope 2 GHG emissions 42% by 2030 from a 2020 base year, and to measure and reduce its scope 3 emissions",x,,
SANWA INDUSTRY,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
SANWA INDUSTRY,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ SANWA INDUSTRY commits to reduce scope 1 and scope 2 GHG emissions 46% by 2030 from a 2019 base year, and to measure and reduce its scope 3 emissions",x,,
SAP SE,['2025'],,,0,"German multinational software corporation SAP  commits to reduce total scope 1, 2 and 3 GHG emissions 40% by 2025, using a 2016 base year",x,,
SAP SE,['2025'],,,1,"This target is an important milestone in reducing emissions 85% by 2050, using a 2016 base year",,,
SAS Institute,"['2025', '2030']",,,0,SAS Institute Inc,,,
SAS Institute,"['2025', '2030']",,,1,"commits to reduce absolute scope 1, 2 and 3 GHG emissions 25% by 2025 and 50% by 2030 from a 2018 base year",x,,
SBS Insurance Services Limited,,,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
SBS Insurance Services Limited,,,,1,"https://sciencebasedtargets.org/faqs-for-smes/ SBS Insurance Services Limited commits to reduce scope 1 and scope 2 GHG emissions 23% by 2030 from a 2021 base year, and to measure and reduce its scope 3 emissions",,,
SCANIA CV,['2025'],,,0,SCANIA commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2025 from a 2015 base year,x,,
SCANIA CV,['2025'],,,1,SCANIA commits to reduce scope 3 GHG emissions from the use of sold vehicles 20% per vehicle km by 2025 from a 2015 base year,x,,
SCI Environmental Group Ltd,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
SCI Environmental Group Ltd,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ SCI Environmental Group Ltd commits to reduce scope 1 and scope 2 GHG emissions 25% by 2030 from a 2020 base year, and to measure and reduce its scope 3 emissions",x,,
"SCREEN Holdings Co., Ltd.",['2030'],,,0,SCREEN Holdings Co,,,
"SCREEN Holdings Co., Ltd.",['2030'],,,1,", Ltd",,,
"SCREEN Holdings Co., Ltd.",['2030'],,,2,commits to reduce absolute scope 1 and 2 GHG emissions 30% by 2030 from a 2018 base year,x,,
"SCREEN Holdings Co., Ltd.",['2030'],,,3,SCREEN Holdings Co,,,
"SCREEN Holdings Co., Ltd.",['2030'],,,4,", Ltd",,,
"SCREEN Holdings Co., Ltd.",['2030'],,,5,also commits to reduce absolute scope 3 GHG emissions from the use of sold products 20% by 2030 from a 2018 base year,x,,
SCSK Corporation,['2031'],,,0,SCSK Corporation commits to reduce absolute scope 1 and 2 GHG emissions 47% by FY2030/31 and 100% by 2050 from a FY2019/20 base year,,,
SCSK Corporation,['2031'],,,1,SCSK Corporation also commits to reduce absolute scope 3 GHG emissions 28% by FY2030/31 from a FY2019/20 base year,,,
SEASONS (HK) LTD.,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
SEASONS (HK) LTD.,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ SEASONS (HK) LTD. commits to reduce scope 1 and scope 2 GHG emissions 23% by 2030 from a 2021 base year, and to measure and reduce its scope 3 emissions",x,,
SECAN INVESCAST INDIA PRIVATE LIMITED,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
SECAN INVESCAST INDIA PRIVATE LIMITED,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ SECAN INVESCAST INDIA PRIVATE LIMITED commits to reduce scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
"SECOM Co., Ltd.",['2030'],,,0,"SECOM CO., LTD. commits to reduce absolute scope 1 and 2 GHG emissions 45% by FY2030 and 100% by FY2045, from a FY2018 base year",x,,
"SECOM Co., Ltd.",['2030'],,,1,"SECOM CO., LTD. also commits to reduce absolute scope 3 GHG emissions 40% by FY2030 and 100% by FY2050, from a FY2018 base year",x,,
SEE Holding GmbH,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
SEE Holding GmbH,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ SEE Holding GmbHv commits to reduce scope 1 and scope 2 GHG emissions 23% by 2030 from a 2021 base year, and to measure and reduce its scope 3 emissions",x,,
SEEDWORKS INTERNATIONAL PRIVATE LIMITED,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
SEEDWORKS INTERNATIONAL PRIVATE LIMITED,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ SEEDWORKS INTERNATIONAL PRIVATE LIMITED commits to reduce scope 1 and scope 2 GHG emissions 23% by 2030 from a 2021 base year, and to measure and reduce its scope 3 emissions",x,,
"SEGRO plc,",['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
"SEGRO plc,",['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ SEGRO plc, commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2020 base year, and to measure and reduce its scope 3 emissions",x,,
"SEIKI INDUSTRY Co.,Ltd",['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
"SEIKI INDUSTRY Co.,Ltd",['2030'],,,1,https://sciencebasedtargets.org/faqs-for-smes/ SEIKI INDUSTRY Co,,,
"SEIKI INDUSTRY Co.,Ltd",['2030'],,,2,",Ltd commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2020 base year, and to measure and reduce its scope 3 emissions",x,,
SEIKI SHOKAI CO.LTD.,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
SEIKI SHOKAI CO.LTD.,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ SEIKI SHOKAI CO.LTD. commits to reduce scope 1 and scope 2 GHG emissions 25% by 2030 from a 2020 base year, and to measure and reduce its scope 3 emissions",x,,
"SEKISUI CHEMICAL CO., LTD",['2030'],,,0,"SEKISUI CHEMICAL CO., LTD. commits to reduce absolute Scope 1 and 2 GHG emissions 26% by 2030 from a 2013 base-year",x,,
"SEKISUI CHEMICAL CO., LTD",['2030'],,,1,The company also commits to reduce absolute Scope 3 GHG emissions 27% by 2030 from a 2016 base-year,x,,
SERVIER,"['2030', '2024']",,,0,SERVIER commits to reduce absolute Scope 1 & 2 GHG emissions by 25% by 2030 from a 2016 base year,x,,
SERVIER,"['2030', '2024']",,,1,"SERVIER commits to reduce absolute Scope 3 GHG emissions from capital goods, waste generated in operations, business travel and employee commuting by 25 % by 2030 from a 2016 base year",x,,
SERVIER,"['2030', '2024']",,,2,SERVIER commits to reduce absolute Scope 3 GHG emissions from downstream transportation and distribution by 21% by 2030 from a 2016 base year,x,,
SERVIER,"['2030', '2024']",,,3,SERVIER also commits that key suppliers representing 52% of emissions from purchased goods and services will set a science-based Scope 1 and 2 targets by 2024,x,,
SGS SA,"['2025', '2030']",,,0,"Multinational inspection, verification, testing and certification company SGS commits to reduce scope 1, scope 2 and scope 3 (business travel) emissions per unit of revenue 45% by 2025 and 55% by 2030, from a 2014 base year",x,,
SGS SA,"['2025', '2030']",,,1,"SGS also commits to reduce other scope 3 emissions per unit of revenue 50% by 2030, from a 2014 base year",x,,
SGS SA,"['2025', '2030']",,,2,"The second target covers purchased goods and services, capital goods, fuel- and energy-related activities, waste generated in operations, and employee commuting",,,
SGV International LLC,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
SGV International LLC,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ SGV International LLC commits to reduce scope 1 and scope 2 GHG emissions 28% by 2030 from a 2019 base year, and to measure and reduce its scope 3 emissions",x,,
SHIMADZU CORPORATION,['2030'],,,0,"Japanese public KK company, manufacturing precision instruments, SHIMADZU CORPORATION commits to reduce absolute scope 1 and 2 GHG emissions 30% by 2030 from a 2017 base year",x,,
SHIMADZU CORPORATION,['2030'],,,1,SHIMADZU CORPORATION also commits to reduce absolute scope 3 GHG emissions from the use of sold products 20% over the same time period,,,
SHINNIHON-KINZOKU,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
SHINNIHON-KINZOKU,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ SHINNIHON-KINZOKU commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2020 base year, and to measure and reduce its scope 3 emissions",x,,
